,No.overall,No. inseason,Directed by,viewers(millions),story_writer,teleplay_writer,season,Penny,Howard,Sheldon,Leonard,Raj,Bernadette,Amy,Ave_length,imdb_rating_count,imdb_rating
57,58,18,Mark Cendrowski,13.42, Chuck Lorre & Bill Prady & Steve Holland, Chuck Lorre & Bill Prady & Steve Holland,3,25.0,11.0,71.0,32.0,21.0,0.0,0.0,16.40340909090909,3136,8.5
58,59,19,Mark Cendrowski,13.39, Chuck Lorre & Steven Molaro & Nicole Lorre & Jessica Ambrosetti, Chuck Lorre & Steven Molaro & Nicole Lorre & Jessica Ambrosetti,3,62.0,20.0,62.0,47.0,14.0,0.0,0.0,10.828125,2918,8.0
59,60,20,Anthony Rich,11.63,collaboration,collaboration,3,56.0,22.0,79.0,66.0,22.0,0.0,0.0,10.39080459770115,2903,8.2
60,61,21,Mark Cendrowski,13.73, Chuck Lorre & Bill Prady & Lee Aronsohn, Chuck Lorre & Bill Prady & Lee Aronsohn,3,28.0,28.0,64.0,64.0,31.0,0.0,0.0,11.098901098901099,3144,8.2
61,62,22,Mark Cendrowski,15.02, Lee Aronsohn & Steven Molaro & Steve Holland, Lee Aronsohn & Steven Molaro & Steve Holland,3,26.0,0.0,14.0,39.0,0.0,0.0,0.0,11.393822393822393,4141,9.1
62,63,23,Peter Chakos,14.78, Chuck Lorre & Bill Prady & Maria Ferrari, Chuck Lorre & Bill Prady & Maria Ferrari,3,34.0,36.0,52.0,63.0,28.0,0.0,5.0,10.816793893129772,3182,8.7
63,64,1,Mark Cendrowski,14.04, Chuck Lorre & Lee Aronsohn & Dave Goetsch, Chuck Lorre & Lee Aronsohn & Dave Goetsch,4,76.0,39.0,69.0,23.0,14.0,0.0,14.0,11.053231939163497,3618,8.8
64,65,2,Mark Cendrowski,13.05, Bill Prady & Lee Aronsohn & Steve Holland, Bill Prady & Lee Aronsohn & Steve Holland,4,50.0,13.0,96.0,69.0,4.0,0.0,0.0,10.640316205533598,3227,8.5
65,66,3,Mark Cendrowski,12.59, Chuck Lorre & Bill Prady & Jim Reynolds, Chuck Lorre & Bill Prady & Jim Reynolds,4,21.0,29.0,79.0,63.0,22.0,0.0,38.0,10.916666666666666,3020,8.0
66,67,4,Mark Cendrowski,12.57, Chuck Lorre & Steven Molaro & Adam Faberman, Chuck Lorre & Steven Molaro & Adam Faberman,4,34.0,69.0,43.0,28.0,35.0,27.0,0.0,10.185454545454546,3018,8.1
67,68,5,Mark Cendrowski,13.05, Bill Prady & Lee Aronsohn & Dave Goetsch, Bill Prady & Lee Aronsohn & Dave Goetsch,4,0.0,15.0,71.0,82.0,7.0,5.0,22.0,11.851851851851851,2879,7.8
68,69,6,Mark Cendrowski,13.04, Chuck Lorre & Lee Aronsohn & Steven Molaro, Chuck Lorre & Lee Aronsohn & Steven Molaro,4,0.0,17.0,91.0,97.0,28.0,0.0,0.0,11.196428571428571,2927,8.1
69,70,7,Mark Cendrowski,14.0, Chuck Lorre & Lee Aronsohn & Maria Ferrari, Chuck Lorre & Lee Aronsohn & Maria Ferrari,4,21.0,18.0,81.0,33.0,24.0,0.0,0.0,12.78969957081545,2967,8.1
70,71,8,Mark Cendrowski,13.11, Chuck Lorre & Bill Prady & Jim Reynolds, Chuck Lorre & Bill Prady & Jim Reynolds,4,32.0,20.0,42.0,32.0,9.0,23.0,38.0,12.328947368421053,2941,8.2
71,72,9,Mark Cendrowski,13.02, Chuck Lorre & Lee Aronsohn & Jim Reynolds, Chuck Lorre & Lee Aronsohn & Jim Reynolds,4,45.0,34.0,20.0,62.0,36.0,17.0,0.0,12.053231939163497,3103,8.5
72,73,10,Mark Cendrowski,12.03, Chuck Lorre & Steven Molaro & Steve Holland, Chuck Lorre & Steven Molaro & Steve Holland,4,22.0,35.0,54.0,11.0,33.0,7.0,43.0,11.708695652173914,2857,7.8
73,74,11,Mark Cendrowski,13.24, Chuck Lorre & Lee Aronsohn & Maria Ferrari, Chuck Lorre & Lee Aronsohn & Maria Ferrari,4,37.0,22.0,49.0,50.0,16.0,0.0,0.0,9.816733067729084,3333,8.7
74,75,12,Mark Cendrowski,13.98, Chuck Lorre & Lee Aronsohn & Maria Ferrari, Chuck Lorre & Lee Aronsohn & Maria Ferrari,4,42.0,23.0,95.0,56.0,21.0,0.0,0.0,12.42578125,2865,7.7
75,76,13,Anthony Rich,13.63, Chuck Lorre & Bill Prady & Dave Goetsch, Chuck Lorre & Bill Prady & Dave Goetsch,4,62.0,32.0,33.0,36.0,8.0,33.0,29.0,11.060836501901141,3078,8.3
76,77,14,Mark Cendrowski,13.83, Chuck Lorre & Lee Aronsohn & Jim Reynolds, Chuck Lorre & Lee Aronsohn & Jim Reynolds,4,58.0,20.0,67.0,19.0,27.0,16.0,8.0,12.541125541125542,2895,7.9
77,78,15,Mark Cendrowski,12.79, Bill Prady & Lee Aronsohn & Dave Goetsch, Bill Prady & Lee Aronsohn & Dave Goetsch,4,16.0,18.0,52.0,62.0,15.0,0.0,8.0,12.871244635193133,2853,7.8
78,79,16,Mark Cendrowski,12.41, Chuck Lorre & Lee Aronsohn & Dave Goetsch, Chuck Lorre & Lee Aronsohn & Dave Goetsch,4,29.0,56.0,24.0,24.0,18.0,34.0,18.0,10.928571428571429,2780,8.0
79,80,17,Mark Cendrowski,12.35, Bill Prady & Dave Goetsch & Maria Ferrari, Bill Prady & Dave Goetsch & Maria Ferrari,4,31.0,6.0,69.0,41.0,8.0,12.0,25.0,12.506072874493928,2819,8.0
80,81,18,Mark Cendrowski,12.06, Bill Prady & Steve Holland & Eddie Gorodetsky, Bill Prady & Steve Holland & Eddie Gorodetsky,4,43.0,34.0,37.0,73.0,14.0,0.0,0.0,10.640316205533598,2956,8.2
81,82,19,Peter Chakos,11.92, Chuck Lorre & Steven Molaro & Maria Ferrari, Chuck Lorre & Steven Molaro & Maria Ferrari,4,32.0,30.0,61.0,50.0,28.0,6.0,9.0,10.933333333333334,2863,8.1
82,83,20,Mark Cendrowski,11.4, Chuck Lorre & Eric Kaplan & Eddie Gorodetsky, Chuck Lorre & Eric Kaplan & Eddie Gorodetsky,4,19.0,12.0,51.0,54.0,30.0,10.0,29.0,11.34108527131783,2857,8.3
83,84,21,Mark Cendrowski,10.71, Bill Prady & Dave Goetsch & Eddie Gorodetsky, Bill Prady & Dave Goetsch & Eddie Gorodetsky,4,16.0,2.0,81.0,30.0,1.0,10.0,33.0,11.27027027027027,2917,8.3
84,85,22,Mark Cendrowski,10.5, Chuck Lorre & Steven Molaro & Eric Kaplan, Chuck Lorre & Steven Molaro & Eric Kaplan,4,22.0,13.0,37.0,32.0,33.0,38.0,39.0,11.131782945736434,2769,7.9
85,86,23,Howard Murray,10.78, Bill Prady & Eric Kaplan & Jim Reynolds, Bill Prady & Eric Kaplan & Jim Reynolds,4,33.0,50.0,42.0,35.0,26.0,23.0,0.0,10.996031746031745,2796,8.1
86,87,24,Mark Cendrowski,11.3, Chuck Lorre & Steven Molaro & Eddie Gorodetsky, Chuck Lorre & Steven Molaro & Eddie Gorodetsky,4,26.0,21.0,48.0,44.0,42.0,7.0,10.0,11.510204081632653,2998,8.6
87,88,1,Mark Cendrowski,14.3, Eric Kaplan & Maria Ferrari & Anthony Del Broccolo, Eric Kaplan & Maria Ferrari & Anthony Del Broccolo,5,47.0,14.0,25.0,32.0,36.0,6.0,18.0,13.08695652173913,3433,8.1
88,89,2,Mark Cendrowski,14.94, Bill Prady & Steven Molaro & Maria Ferrari, Bill Prady & Steven Molaro & Maria Ferrari,5,32.0,20.0,55.0,47.0,12.0,0.0,24.0,11.173333333333334,2979,8.1
89,90,3,Mark Cendrowski,14.74, Chuck Lorre & Eric Kaplan & Jim Reynolds, Chuck Lorre & Eric Kaplan & Jim Reynolds,5,15.0,36.0,22.0,39.0,1.0,26.0,47.0,12.143518518518519,2843,7.8
90,91,4,Mark Cendrowski,13.92, Chuck Lorre & Dave Goetsch & Anthony Del Broccolo, Chuck Lorre & Dave Goetsch & Anthony Del Broccolo,5,37.0,48.0,26.0,16.0,51.0,3.0,2.0,13.135922330097088,2896,8.0
91,92,5,Mark Cendrowski,13.58, Bill Prady & Steven Molaro & Jim Reynolds, Bill Prady & Steven Molaro & Jim Reynolds,5,10.0,35.0,51.0,47.0,6.0,35.0,9.0,12.154150197628459,2864,8.1
92,93,6,Howard Murray,14.93, Chuck Lorre & Eric Kaplan & Steve Holland, Chuck Lorre & Eric Kaplan & Steve Holland,5,11.0,9.0,60.0,28.0,8.0,0.0,5.0,15.77560975609756,2805,7.7
93,94,7,Mark Cendrowski,14.54, Chuck Lorre & Dave Goetsch & Maria Ferrari, Chuck Lorre & Dave Goetsch & Maria Ferrari,5,24.0,11.0,43.0,71.0,10.0,8.0,0.0,11.76388888888889,3489,8.6
94,95,8,Mark Cendrowski,15.98, Chuck Lorre & Eric Kaplan & Tara Hernandez, Chuck Lorre & Eric Kaplan & Tara Hernandez,5,31.0,13.0,38.0,31.0,3.0,25.0,61.0,12.777272727272727,2801,7.7
95,96,9,Mark Cendrowski,15.89, Chuck Lorre & Dave Goetsch & Anthony Del Broccolo, Chuck Lorre & Dave Goetsch & Anthony Del Broccolo,5,63.0,4.0,35.0,66.0,6.0,6.0,6.0,13.610328638497652,2932,8.2
96,97,10,Mark Cendrowski,15.05, Chuck Lorre & Steven Molaro & Dave Goetsch, Chuck Lorre & Steven Molaro & Dave Goetsch,5,24.0,17.0,56.0,27.0,15.0,8.0,27.0,12.985507246376812,2859,8.0
97,98,11,Anthony Rich,14.02, Chuck Lorre & Bill Prady & Steve Holland, Chuck Lorre & Bill Prady & Steve Holland,5,36.0,6.0,49.0,69.0,9.0,18.0,16.0,11.74,2786,7.4
98,99,12,Mark Cendrowski,16.13, Chuck Lorre & Steve Holland & Tara Hernandez, Chuck Lorre & Steve Holland & Tara Hernandez,5,22.0,41.0,43.0,21.0,7.0,26.0,12.0,14.130653266331658,2813,7.7
99,100,13,Mark Cendrowski,15.83, Chuck Lorre, Chuck Lorre,5,66.0,10.0,42.0,83.0,7.0,21.0,20.0,10.779026217228465,2972,8.2
100,101,14,Mark Cendrowski,16.13, Chuck Lorre & Steven Molaro & Eric Kaplan, Chuck Lorre & Steven Molaro & Eric Kaplan,5,34.0,10.0,25.0,35.0,28.0,4.0,13.0,12.698412698412698,2989,8.3
101,102,15,Mark Cendrowski,16.54, Chuck Lorre & Eric Kaplan & Jim Reynolds, Chuck Lorre & Eric Kaplan & Jim Reynolds,5,14.0,26.0,61.0,52.0,19.0,2.0,2.0,14.362745098039216,2699,7.8
102,103,16,Mark Cendrowski,16.21, Chuck Lorre & Anthony Del Broccolo & Tara Hernandez, Chuck Lorre & Anthony Del Broccolo & Tara Hernandez,5,16.0,29.0,64.0,29.0,12.0,15.0,33.0,14.076923076923077,2683,7.7
103,104,17,Mark Cendrowski,15.65, Chuck Lorre & Bill Prady & Steve Holland, Chuck Lorre & Bill Prady & Steve Holland,5,42.0,10.0,50.0,24.0,13.0,10.0,37.0,11.959016393442623,2749,7.9
104,105,18,Mark Cendrowski,16.2, Chuck Lorre & Todd Craig & Gary Torvinen, Chuck Lorre & Todd Craig & Gary Torvinen,5,24.0,24.0,50.0,35.0,5.0,17.0,8.0,14.24468085106383,2920,8.3
105,106,19,Mark Cendrowski,15.04, Chuck Lorre & Bill Prady & Tara Hernandez, Chuck Lorre & Bill Prady & Tara Hernandez,5,41.0,15.0,42.0,24.0,15.0,8.0,39.0,14.926470588235293,2784,8.2
106,107,20,Mark Cendrowski,13.96, Chuck Lorre & Bill Prady & Maria Ferrari, Chuck Lorre & Bill Prady & Maria Ferrari,5,26.0,21.0,51.0,27.0,47.0,8.0,0.0,12.572033898305085,2899,8.2
107,108,21,Mark Cendrowski,13.29, Bill Prady & Steven Molaro & Steve Holland, Bill Prady & Steven Molaro & Steve Holland,5,12.0,62.0,75.0,14.0,13.0,7.0,0.0,12.123222748815166,3259,8.6
108,109,22,Peter Chakos,12.65, Billy Prady & Steve Holland & Eric Kaplan, Billy Prady & Steve Holland & Eric Kaplan,5,26.0,30.0,22.0,32.0,25.0,22.0,12.0,14.867647058823529,2751,7.8
109,110,23,Mark Cendrowski,13.91, Chuck Lorre & Steven Molaro & Jim Reynolds, Chuck Lorre & Steven Molaro & Jim Reynolds,5,25.0,41.0,37.0,47.0,4.0,12.0,16.0,13.625570776255708,2709,8.2
110,111,24,Mark Cendrowski,13.72, Bill Prady & Eric Kaplan & Steve Holland, Bill Prady & Eric Kaplan & Steve Holland,5,12.0,49.0,20.0,20.0,13.0,32.0,15.0,11.814977973568283,3122,8.6
111,112,1,Mark Cendrowski,15.66, Chuck Lorre & Eric Kaplan & Steve Holland, Chuck Lorre & Eric Kaplan & Steve Holland,6,22.0,29.0,26.0,30.0,48.0,12.0,24.0,11.475806451612904,3624,7.7
112,113,2,Mark Cendrowski,15.18, Chuck Lorre & Jim Reynolds & Maria Ferrari, Chuck Lorre & Jim Reynolds & Maria Ferrari,6,40.0,19.0,66.0,30.0,8.0,23.0,22.0,11.202479338842975,2846,7.7
113,114,3,Mark Cendrowski,14.23, Steven Molaro & Dave Goetsch & Steve Holland, Steven Molaro & Dave Goetsch & Steve Holland,6,37.0,16.0,37.0,33.0,5.0,15.0,22.0,12.708920187793428,2856,8.0
114,115,4,Mark Cendrowski,15.73, Bill Prady & Jim Reynolds & Anthony Del Broccolo, Bill Prady & Jim Reynolds & Anthony Del Broccolo,6,27.0,43.0,44.0,28.0,15.0,15.0,17.0,10.351239669421487,3043,8.3
115,116,5,Mark Cendrowski,15.82, Chuck Lorre & Eric Kaplan & Jeremy Howe, Chuck Lorre & Eric Kaplan & Jeremy Howe,6,40.0,42.0,25.0,33.0,19.0,32.0,17.0,12.208510638297872,2818,8.1
116,117,6,Mark Cendrowski,15.9, Chuck Lorre & Bill Prady & Steve Holland, Chuck Lorre & Bill Prady & Steve Holland,6,37.0,16.0,48.0,45.0,18.0,12.0,15.0,14.251184834123222,2711,7.9
117,118,7,Mark Cendrowski,16.68, Chuck Lorre & Eric Kaplan & Jim Reynolds, Chuck Lorre & Eric Kaplan & Jim Reynolds,6,21.0,32.0,53.0,13.0,2.0,22.0,22.0,14.638613861386139,2678,7.7
118,119,8,Mark Cendrowski,17.63, Chuck Lorre & Dave Goetsch & Anthony Del Broccolo, Chuck Lorre & Dave Goetsch & Anthony Del Broccolo,6,26.0,52.0,27.0,58.0,50.0,0.0,0.0,10.879032258064516,3154,8.5
119,120,9,Peter Chakos,17.25, Chuck Lorre & Eric Kaplan & Adam Faberman, Chuck Lorre & Eric Kaplan & Adam Faberman,6,17.0,36.0,54.0,19.0,11.0,28.0,31.0,13.036866359447005,3044,8.3
120,121,10,Mark Cendrowski,16.94, Chuck Lorre & Bill Prady & Tara Hernandez, Chuck Lorre & Bill Prady & Tara Hernandez,6,13.0,48.0,41.0,12.0,10.0,14.0,33.0,12.695238095238095,2848,8.1
121,122,11,Mark Cendrowski,16.77, Chuck Lorre & Eric Kaplan & Steve Holland, Chuck Lorre & Eric Kaplan & Steve Holland,6,19.0,17.0,42.0,43.0,33.0,15.0,19.0,14.132743362831858,2744,7.9
122,123,12,Mark Cendrowski,19.25, Chuck Lorre & Eric Kaplan & Jim Reynolds, Chuck Lorre & Eric Kaplan & Jim Reynolds,6,33.0,13.0,47.0,53.0,18.0,5.0,2.0,14.12037037037037,3118,8.5
123,124,13,Mark Cendrowski,20.0, Chuck Lorre & Jim Reynolds & Steve Holland, Chuck Lorre & Jim Reynolds & Steve Holland,6,39.0,17.0,34.0,36.0,21.0,24.0,30.0,11.745901639344263,3122,8.5
124,125,14,Mark Cendrowski,17.76, Chuck Lorre & Eric Kaplan & Anthony Del Broccolo, Chuck Lorre & Eric Kaplan & Anthony Del Broccolo,6,19.0,35.0,53.0,31.0,24.0,10.0,5.0,12.059360730593607,2727,7.9
125,126,15,Mark Cendrowski,18.98, Chuck Lorre & Eric Kaplan & Steve Holland, Chuck Lorre & Eric Kaplan & Steve Holland,6,32.0,27.0,60.0,38.0,32.0,4.0,28.0,12.170731707317072,2826,8.3
126,127,16,Mark Cendrowski,17.89, Chuck Lorre & Bill Prady & Steve Holland, Chuck Lorre & Bill Prady & Steve Holland,6,41.0,21.0,28.0,47.0,16.0,12.0,15.0,12.311111111111112,2740,8.0
127,128,17,Mark Cendrowski,17.62, Chuck Lorre & Dave Goetsch & Maria Ferrari, Chuck Lorre & Dave Goetsch & Maria Ferrari,6,21.0,18.0,39.0,17.0,29.0,6.0,15.0,14.106741573033707,2605,7.7
128,129,18,Mark Cendrowski,17.63, Chuck Lorre & Eric Kaplan & Steve Holland, Chuck Lorre & Eric Kaplan & Steve Holland,6,15.0,20.0,22.0,23.0,17.0,16.0,16.0,16.33125,2678,7.8
129,130,19,Anthony Rich,15.9, Chuck Lorre & Jim Reynolds & Maria Ferrari, Chuck Lorre & Jim Reynolds & Maria Ferrari,6,27.0,45.0,46.0,30.0,14.0,42.0,17.0,11.305439330543933,2823,8.1
130,131,20,Mark Cendrowski,17.24, Steven Molaro & Eric Kaplan & Maria Ferrari, Steven Molaro & Eric Kaplan & Maria Ferrari,6,13.0,12.0,52.0,42.0,19.0,3.0,21.0,11.75,2741,8.1
131,132,21,Mark Cendrowski,15.05, Chuck Lorre & Bill Prady & Tara Hernandez, Chuck Lorre & Bill Prady & Tara Hernandez,6,30.0,21.0,31.0,23.0,33.0,5.0,16.0,14.055,2690,8.1
132,133,22,Mark Cendrowski,16.29, Chuck Lorre & Jim Reynolds & Steve Holland, Chuck Lorre & Jim Reynolds & Steve Holland,6,18.0,26.0,55.0,31.0,14.0,20.0,0.0,11.574561403508772,2786,8.0
133,134,23,Anthony Rich,16.3, Chuck Lorre & Jim Reynolds & Maria Ferrari, Chuck Lorre & Jim Reynolds & Maria Ferrari,6,18.0,22.0,41.0,18.0,27.0,11.0,28.0,12.309859154929578,2822,8.1
134,135,24,Mark Cendrowski,15.48, Steven Molaro & Steve Holland & Tara Hernandez, Steven Molaro & Steve Holland & Tara Hernandez,6,48.0,15.0,34.0,39.0,45.0,5.0,11.0,13.51101321585903,2667,7.8
135,136,1,Mark Cendrowski,18.99, Chuck Lorre & Steven Molaro & Tara Hernandez, Chuck Lorre & Steven Molaro & Tara Hernandez,7,48.0,15.0,58.0,13.0,28.0,21.0,22.0,12.066666666666666,3073,7.9
136,137,2,Mark Cendrowski,20.44, Chuck Lorre & Eric Kaplan & Jim Reynolds, Chuck Lorre & Eric Kaplan & Jim Reynolds,7,45.0,32.0,78.0,34.0,18.0,12.0,21.0,11.475836431226766,3009,8.1
137,138,3,Mark Cendrowski,18.22, Dave Goetsch & Eric Kaplan & Steve Holland, Dave Goetsch & Eric Kaplan & Steve Holland,7,41.0,31.0,41.0,44.0,22.0,31.0,26.0,10.9812734082397,3624,8.8
138,139,4,Mark Cendrowski,17.64, Chuck Lorre & Jim Reynolds & Tara Hernandez, Chuck Lorre & Jim Reynolds & Tara Hernandez,7,26.0,19.0,27.0,47.0,24.0,7.0,18.0,13.483720930232558,2754,8.0
139,140,5,Mark Cendrowski,17.8, Steven Molaro & Steve Holland & Maria Ferrari, Steven Molaro & Steve Holland & Maria Ferrari,7,13.0,26.0,62.0,17.0,13.0,19.0,38.0,13.366336633663366,2619,7.7
140,141,6,Mark Cendrowski,16.98, Eric Kaplan & Jim Reynolds & Tara Hernandez, Eric Kaplan & Jim Reynolds & Tara Hernandez,7,35.0,28.0,46.0,41.0,18.0,9.0,23.0,13.686363636363636,3130,8.5
141,142,7,Mark Cendrowski,16.89, Chuck Lorre & Maria Ferrari & Anthony Del Broccolo, Chuck Lorre & Maria Ferrari & Anthony Del Broccolo,7,15.0,31.0,46.0,29.0,25.0,6.0,21.0,11.897872340425533,2670,7.8
142,143,8,Mark Cendrowski,18.3, Steven Molaro & Bill Prady & Jim Reynolds, Steven Molaro & Bill Prady & Jim Reynolds,7,35.0,13.0,37.0,42.0,24.0,15.0,12.0,13.253521126760564,2667,7.6
143,144,9,Mark Cendrowski,18.94, Eric Kaplan & Steve Holland & Maria Ferrari, Eric Kaplan & Steve Holland & Maria Ferrari,7,39.0,33.0,35.0,34.0,14.0,21.0,22.0,10.94921875,3721,8.9
144,145,10,Mark Cendrowski,15.63, Eric Kaplan & Jim Reynolds & Maria Ferrari, Eric Kaplan & Jim Reynolds & Maria Ferrari,7,11.0,32.0,56.0,27.0,23.0,26.0,12.0,13.54625550660793,2522,7.7
145,146,11,Mark Cendrowski,17.68, Steven Molaro & Eric Kaplan & Maria Ferrari, Steven Molaro & Eric Kaplan & Maria Ferrari,7,45.0,20.0,38.0,42.0,24.0,14.0,38.0,10.105839416058394,2813,8.2
146,147,12,Mark Cendrowski,19.2, Dave Goetsch & Jim Reynolds & Tara Hernandez, Dave Goetsch & Jim Reynolds & Tara Hernandez,7,50.0,14.0,39.0,61.0,17.0,12.0,17.0,10.642857142857142,2603,7.5
147,148,13,Mark Cendrowski,20.35, Eric Kaplan & Maria Ferrari & Tara Hernandez, Eric Kaplan & Maria Ferrari & Tara Hernandez,7,40.0,20.0,42.0,41.0,18.0,19.0,30.0,10.408602150537634,2582,7.6
148,149,14,Mark Cendrowski,19.05, Eric Kaplan & Jim Reynolds & Adam Faberman, Eric Kaplan & Jim Reynolds & Adam Faberman,7,24.0,31.0,43.0,34.0,27.0,11.0,13.0,12.577586206896552,2772,8.0
149,150,15,Mark Cendrowski,17.53, Jim Reynolds & Steve Holland & Tara Hernandez, Jim Reynolds & Steve Holland & Tara Hernandez,7,32.0,14.0,48.0,34.0,15.0,12.0,32.0,11.879166666666666,2973,8.3
150,151,16,Gay Linvill,17.73, Steven Molaro & Maria Ferrari & Tara Hernandez, Steven Molaro & Maria Ferrari & Tara Hernandez,7,31.0,41.0,44.0,40.0,29.0,24.0,16.0,11.86923076923077,2485,7.7
151,152,17,Mark Cendrowski,18.09, Steven Molaro & Eric Kaplan & Tara Hernandez, Steven Molaro & Eric Kaplan & Tara Hernandez,7,24.0,37.0,44.0,20.0,42.0,10.0,29.0,12.541484716157205,2458,7.5
152,153,18,Mark Cendrowski,17.34, Jim Reynolds & Steve Holland & Maria Ferrari, Jim Reynolds & Steve Holland & Maria Ferrari,7,32.0,25.0,46.0,24.0,36.0,20.0,20.0,12.007905138339922,2522,7.5
153,154,19,Anthony Rich,17.73, Bill Prady & Eric Kaplan & Jim Reynolds, Bill Prady & Eric Kaplan & Jim Reynolds,7,35.0,7.0,43.0,30.0,29.0,18.0,38.0,11.518672199170124,2738,8.2
154,155,20,Mark Cendrowski,16.49, Steven Molaro & Bill Prady & Jim Reynolds, Steven Molaro & Bill Prady & Jim Reynolds,7,25.0,43.0,62.0,23.0,23.0,14.0,8.0,11.585365853658537,2565,8.1
155,156,21,Mark Cendrowski,16.44, Steven Molaro & Eric Kaplan & Adam Faberman, Steven Molaro & Eric Kaplan & Adam Faberman,7,44.0,16.0,45.0,30.0,23.0,7.0,15.0,12.69811320754717,2427,7.6
156,157,22,Mark Cendrowski,16.07, Jim Reynolds & Maria Ferrari & Jeremy Howe, Jim Reynolds & Maria Ferrari & Jeremy Howe,7,39.0,14.0,48.0,44.0,16.0,11.0,17.0,11.543478260869565,2555,7.8
157,158,23,Peter Chakos,14.42, Chuck Lorre & Jim Reynolds & Jeremy Howe, Chuck Lorre & Jim Reynolds & Jeremy Howe,7,42.0,28.0,25.0,33.0,41.0,21.0,3.0,10.826086956521738,2560,7.9
158,159,24,Mark Cendrowski,16.73, Eric Kaplan & Jim Reynolds & Jeremy Howe, Eric Kaplan & Jim Reynolds & Jeremy Howe,7,35.0,18.0,54.0,65.0,9.0,17.0,23.0,11.136029411764707,2628,8.1
159,160,1,Mark Cendrowski,18.08, Jim Reynolds & Maria Ferrari & Tara Hernandez, Jim Reynolds & Maria Ferrari & Tara Hernandez,8,30.0,28.0,42.0,30.0,17.0,12.0,14.0,13.343612334801762,3104,7.2
160,161,2,Mark Cendrowski,18.3, Steven Molaro & Eric Kaplan & Steve Holland, Steven Molaro & Eric Kaplan & Steve Holland,8,21.0,37.0,65.0,22.0,13.0,20.0,32.0,12.343347639484978,2875,7.6
161,162,3,Mark Cendrowski,18.44, Chuck Lorre & Jim Reynolds & Anthony Del Broccolo, Chuck Lorre & Jim Reynolds & Anthony Del Broccolo,8,36.0,35.0,38.0,39.0,8.0,22.0,19.0,11.423423423423424,2793,7.1
162,163,4,Mark Cendrowski,17.94, Steve Holland & Maria Ferrari & Tara Hernandez, Steve Holland & Maria Ferrari & Tara Hernandez,8,51.0,31.0,33.0,28.0,30.0,23.0,14.0,11.310077519379846,2632,7.2
163,164,5,Mark Cendrowski,17.63, Jim Reynolds & Maria Ferrari & Adam Faberman, Jim Reynolds & Maria Ferrari & Adam Faberman,8,23.0,28.0,46.0,44.0,29.0,24.0,27.0,11.804979253112034,2699,7.5
164,165,6,Mark Cendrowski,18.02, Steven Molaro & Dave Goetsch & Tara Hernandez, Steven Molaro & Dave Goetsch & Tara Hernandez,8,43.0,22.0,50.0,43.0,45.0,24.0,13.0,13.070038910505836,2573,7.2
165,166,7,Mark Cendrowski,18.25, Chuck Lorre & Eric Kaplan & Jim Reynolds, Chuck Lorre & Eric Kaplan & Jim Reynolds,8,30.0,11.0,28.0,41.0,15.0,17.0,26.0,11.144628099173554,2830,7.8
166,167,8,Mark Cendrowski,18.56, Jim Reynolds & Steve Holland & Jeremy Howe, Jim Reynolds & Steve Holland & Jeremy Howe,8,38.0,28.0,35.0,33.0,15.0,22.0,24.0,12.540772532188841,2817,8.0
167,168,9,Anthony Rich,16.9, Steven Molaro & Bill Prady & Maria Ferrari, Steven Molaro & Bill Prady & Maria Ferrari,8,22.0,29.0,67.0,32.0,17.0,29.0,28.0,12.099585062240664,2498,7.5
168,169,10,Mark Cendrowski,16.61, Steven Molaro & Tara Hernandez & David Saltzberg & Ph.D, Steven Molaro & Tara Hernandez & David Saltzberg & Ph.D,8,25.0,21.0,34.0,29.0,18.0,30.0,16.0,12.369565217391305,2568,7.0
169,170,11,Mark Cendrowski,18.49, Maria Ferrari & Tara Hernandez & Jeremy Howe, Maria Ferrari & Tara Hernandez & Jeremy Howe,8,20.0,42.0,32.0,40.0,31.0,16.0,20.0,11.85593220338983,2470,7.4
170,171,12,Mark Cendrowski,18.11, Bill Prady & Eric Kaplan & Jim Reynolds, Bill Prady & Eric Kaplan & Jim Reynolds,8,31.0,29.0,50.0,46.0,34.0,5.0,20.0,13.0,2382,7.3
171,172,13,Mark Cendrowski,17.25, Eric Kaplan & Maria Ferrari & Adam Faberman, Eric Kaplan & Maria Ferrari & Adam Faberman,8,34.0,21.0,74.0,31.0,12.0,5.0,26.0,12.627802690582959,2374,7.5
172,173,14,Mark Cendrowski,17.09, Steven Molaro & Eric Kaplan & Tara Hernandez, Steven Molaro & Eric Kaplan & Tara Hernandez,8,39.0,10.0,47.0,57.0,12.0,25.0,24.0,12.040816326530612,2589,8.0
173,174,15,Mark Cendrowski,17.49, Jim Reynolds & Maria Ferrari & Jeremy Howe, Jim Reynolds & Maria Ferrari & Jeremy Howe,8,42.0,21.0,50.0,30.0,25.0,15.0,24.0,11.85483870967742,2584,8.1
174,175,16,Mark Cendrowski,16.67, Dave Goetsch & Eric Kaplan & Tara Hernandez, Dave Goetsch & Eric Kaplan & Tara Hernandez,8,50.0,11.0,55.0,20.0,19.0,11.0,21.0,11.902542372881356,2474,7.9
175,176,17,Mark Cendrowski,18.17, Dave Goetsch & Jim Reynolds & Tara Hernandez, Dave Goetsch & Jim Reynolds & Tara Hernandez,8,28.0,20.0,42.0,34.0,32.0,9.0,34.0,11.841880341880342,2345,7.6
